title,date,description,crime_type,location,source_url
Bike stolen from Dwarka,2026-04-04,A theft incident was reported in dwarka. Police are investigating the case.,Theft,dwarka,synthetic_data
Harassment case reported in Burari,2026-03-25,A assault incident was reported in burari. Police are investigating the case.,Assault,burari,synthetic_data
House robbery in Najafgarh,2026-02-18,A theft incident was reported in najafgarh. Police are investigating the case.,Theft,najafgarh,synthetic_data
Minor abducted in Najafgarh,2026-03-29,A kidnapping incident was reported in najafgarh. Police are investigating the case.,Kidnapping,najafgarh,synthetic_data
Bike stolen from Kalkaji,2026-03-29,A theft incident was reported in kalkaji. Police are investigating the case.,Theft,kalkaji,synthetic_data
Harassment case reported in Rohini,2026-02-21,A assault incident was reported in rohini. Police are investigating the case.,Assault,rohini,synthetic_data
Scam worth lakhs in Karol Bagh,2026-04-10,A fraud incident was reported in karol bagh. Police are investigating the case.,Fraud,karol bagh,synthetic_data
Man beaten in Connaught Place,2026-02-25,A assault incident was reported in connaught place. Police are investigating the case.,Assault,connaught place,synthetic_data
Harassment case reported in Tilak Nagar,2026-03-11,A assault incident was reported in tilak nagar. Police are investigating the case.,Assault,tilak nagar,synthetic_data
Mobile snatching in Janakpuri,2026-03-26,A theft incident was reported in janakpuri. Police are investigating the case.,Theft,janakpuri,synthetic_data
Youth shot dead in Ashok Vihar,2026-04-10,A murder incident was reported in ashok vihar. Police are investigating the case.,Murder,ashok vihar,synthetic_data
Scam worth lakhs in Kalkaji,2026-03-01,A fraud incident was reported in kalkaji. Police are investigating the case.,Fraud,kalkaji,synthetic_data
Kidnap case reported in Connaught Place,2026-03-28,A kidnapping incident was reported in connaught place. Police are investigating the case.,Kidnapping,connaught place,synthetic_data
Harassment case reported in Dwarka,2026-04-01,A assault incident was reported in dwarka. Police are investigating the case.,Assault,dwarka,synthetic_data
Kidnap case reported in Rohini,2026-02-19,A kidnapping incident was reported in rohini. Police are investigating the case.,Kidnapping,rohini,synthetic_data
Online fraud case in Tilak Nagar,2026-04-05,A fraud incident was reported in tilak nagar. Police are investigating the case.,Fraud,tilak nagar,synthetic_data
House robbery in Lajpat Nagar,2026-03-15,A theft incident was reported in lajpat nagar. Police are investigating the case.,Theft,lajpat nagar,synthetic_data
Woman assaulted in Rohini,2026-03-26,A assault incident was reported in rohini. Police are investigating the case.,Assault,rohini,synthetic_data
Bike stolen from Burari,2026-03-16,A theft incident was reported in burari. Police are investigating the case.,Theft,burari,synthetic_data
Body found in Patel Nagar area,2026-02-23,A murder incident was reported in patel nagar. Police are investigating the case.,Murder,patel nagar,synthetic_data
Scam worth lakhs in Saket,2026-03-09,A fraud incident was reported in saket. Police are investigating the case.,Fraud,saket,synthetic_data
Bike stolen from Okhla,2026-03-17,A theft incident was reported in okhla. Police are investigating the case.,Theft,okhla,synthetic_data
Body found in Rajouri Garden area,2026-02-16,A murder incident was reported in rajouri garden. Police are investigating the case.,Murder,rajouri garden,synthetic_data
Man stabbed to death in Patel Nagar,2026-02-18,A murder incident was reported in patel nagar. Police are investigating the case.,Murder,patel nagar,synthetic_data
Man beaten in Pitampura,2026-04-12,A assault incident was reported in pitampura. Police are investigating the case.,Assault,pitampura,synthetic_data
Minor abducted in Kalkaji,2026-03-17,A kidnapping incident was reported in kalkaji. Police are investigating the case.,Kidnapping,kalkaji,synthetic_data
Man beaten in Rajouri Garden,2026-02-22,A assault incident was reported in rajouri garden. Police are investigating the case.,Assault,rajouri garden,synthetic_data
Child kidnapped from Rohini,2026-02-15,A kidnapping incident was reported in rohini. Police are investigating the case.,Kidnapping,rohini,synthetic_data
Body found in Janakpuri area,2026-02-25,A murder incident was reported in janakpuri. Police are investigating the case.,Murder,janakpuri,synthetic_data
Minor abducted in Saket,2026-04-01,A kidnapping incident was reported in saket. Police are investigating the case.,Kidnapping,saket,synthetic_data
Woman assaulted in Patel Nagar,2026-03-26,A assault incident was reported in patel nagar. Police are investigating the case.,Assault,patel nagar,synthetic_data
Cyber fraud reported in Kalkaji,2026-03-11,A fraud incident was reported in kalkaji. Police are investigating the case.,Fraud,kalkaji,synthetic_data
House robbery in Lajpat Nagar,2026-04-06,A theft incident was reported in lajpat nagar. Police are investigating the case.,Theft,lajpat nagar,synthetic_data
Minor abducted in Kalkaji,2026-03-21,A kidnapping incident was reported in kalkaji. Police are investigating the case.,Kidnapping,kalkaji,synthetic_data
Body found in Connaught Place area,2026-03-10,A murder incident was reported in connaught place. Police are investigating the case.,Murder,connaught place,synthetic_data
Mobile snatching in Najafgarh,2026-03-24,A theft incident was reported in najafgarh. Police are investigating the case.,Theft,najafgarh,synthetic_data
Man beaten in Lajpat Nagar,2026-03-20,A assault incident was reported in lajpat nagar. Police are investigating the case.,Assault,lajpat nagar,synthetic_data
Harassment case reported in Patel Nagar,2026-03-26,A assault incident was reported in patel nagar. Police are investigating the case.,Assault,patel nagar,synthetic_data
Kidnap case reported in Shahdara,2026-03-19,A kidnapping incident was reported in shahdara. Police are investigating the case.,Kidnapping,shahdara,synthetic_data
Cyber fraud reported in Connaught Place,2026-03-18,A fraud incident was reported in connaught place. Police are investigating the case.,Fraud,connaught place,synthetic_data
Body found in Mayur Vihar area,2026-02-12,A murder incident was reported in mayur vihar. Police are investigating the case.,Murder,mayur vihar,synthetic_data
Kidnap case reported in Janakpuri,2026-03-06,A kidnapping incident was reported in janakpuri. Police are investigating the case.,Kidnapping,janakpuri,synthetic_data
Scam worth lakhs in Shahdara,2026-02-20,A fraud incident was reported in shahdara. Police are investigating the case.,Fraud,shahdara,synthetic_data
Harassment case reported in Tilak Nagar,2026-03-06,A assault incident was reported in tilak nagar. Police are investigating the case.,Assault,tilak nagar,synthetic_data
Scam worth lakhs in Najafgarh,2026-02-24,A fraud incident was reported in najafgarh. Police are investigating the case.,Fraud,najafgarh,synthetic_data
Body found in Lajpat Nagar area,2026-03-19,A murder incident was reported in lajpat nagar. Police are investigating the case.,Murder,lajpat nagar,synthetic_data
Scam worth lakhs in Mayur Vihar,2026-04-06,A fraud incident was reported in mayur vihar. Police are investigating the case.,Fraud,mayur vihar,synthetic_data
Mobile snatching in Connaught Place,2026-02-17,A theft incident was reported in connaught place. Police are investigating the case.,Theft,connaught place,synthetic_data
Online fraud case in Vasant Kunj,2026-04-11,A fraud incident was reported in vasant kunj. Police are investigating the case.,Fraud,vasant kunj,synthetic_data
House robbery in Connaught Place,2026-03-08,A theft incident was reported in connaught place. Police are investigating the case.,Theft,connaught place,synthetic_data
Mobile snatching in Patel Nagar,2026-02-19,A theft incident was reported in patel nagar. Police are investigating the case.,Theft,patel nagar,synthetic_data
Child kidnapped from Tilak Nagar,2026-03-23,A kidnapping incident was reported in tilak nagar. Police are investigating the case.,Kidnapping,tilak nagar,synthetic_data
Child kidnapped from Patel Nagar,2026-02-14,A kidnapping incident was reported in patel nagar. Police are investigating the case.,Kidnapping,patel nagar,synthetic_data
Bike stolen from Shahdara,2026-02-22,A theft incident was reported in shahdara. Police are investigating the case.,Theft,shahdara,synthetic_data
Kidnap case reported in Patel Nagar,2026-04-05,A kidnapping incident was reported in patel nagar. Police are investigating the case.,Kidnapping,patel nagar,synthetic_data
Man beaten in Lajpat Nagar,2026-02-28,A assault incident was reported in lajpat nagar. Police are investigating the case.,Assault,lajpat nagar,synthetic_data
Man beaten in Vasant Kunj,2026-03-05,A assault incident was reported in vasant kunj. Police are investigating the case.,Assault,vasant kunj,synthetic_data
Bike stolen from Mayur Vihar,2026-02-24,A theft incident was reported in mayur vihar. Police are investigating the case.,Theft,mayur vihar,synthetic_data
Scam worth lakhs in Hauz Khas,2026-03-20,A fraud incident was reported in hauz khas. Police are investigating the case.,Fraud,hauz khas,synthetic_data
House robbery in Vasant Kunj,2026-02-25,A theft incident was reported in vasant kunj. Police are investigating the case.,Theft,vasant kunj,synthetic_data
Minor abducted in Burari,2026-02-27,A kidnapping incident was reported in burari. Police are investigating the case.,Kidnapping,burari,synthetic_data
Scam worth lakhs in Rohini,2026-02-11,A fraud incident was reported in rohini. Police are investigating the case.,Fraud,rohini,synthetic_data
Kidnap case reported in Dwarka,2026-02-11,A kidnapping incident was reported in dwarka. Police are investigating the case.,Kidnapping,dwarka,synthetic_data
Youth shot dead in Connaught Place,2026-04-02,A murder incident was reported in connaught place. Police are investigating the case.,Murder,connaught place,synthetic_data
Youth shot dead in Dwarka,2026-03-11,A murder incident was reported in dwarka. Police are investigating the case.,Murder,dwarka,synthetic_data
Man stabbed to death in Lajpat Nagar,2026-03-16,A murder incident was reported in lajpat nagar. Police are investigating the case.,Murder,lajpat nagar,synthetic_data
Harassment case reported in Rohini,2026-03-27,A assault incident was reported in rohini. Police are investigating the case.,Assault,rohini,synthetic_data
Minor abducted in Tilak Nagar,2026-04-08,A kidnapping incident was reported in tilak nagar. Police are investigating the case.,Kidnapping,tilak nagar,synthetic_data
Woman assaulted in Rohini,2026-03-18,A assault incident was reported in rohini. Police are investigating the case.,Assault,rohini,synthetic_data
Man stabbed to death in Dwarka,2026-02-17,A murder incident was reported in dwarka. Police are investigating the case.,Murder,dwarka,synthetic_data
Woman assaulted in Defence Colony,2026-03-10,A assault incident was reported in defence colony. Police are investigating the case.,Assault,defence colony,synthetic_data
Man stabbed to death in Mayur Vihar,2026-03-28,A murder incident was reported in mayur vihar. Police are investigating the case.,Murder,mayur vihar,synthetic_data
Bike stolen from Burari,2026-03-17,A theft incident was reported in burari. Police are investigating the case.,Theft,burari,synthetic_data
House robbery in Defence Colony,2026-03-07,A theft incident was reported in defence colony. Police are investigating the case.,Theft,defence colony,synthetic_data
House robbery in Dwarka,2026-04-07,A theft incident was reported in dwarka. Police are investigating the case.,Theft,dwarka,synthetic_data
Bike stolen from Rajouri Garden,2026-04-02,A theft incident was reported in rajouri garden. Police are investigating the case.,Theft,rajouri garden,synthetic_data
Online fraud case in Janakpuri,2026-03-13,A fraud incident was reported in janakpuri. Police are investigating the case.,Fraud,janakpuri,synthetic_data
Body found in Connaught Place area,2026-03-15,A murder incident was reported in connaught place. Police are investigating the case.,Murder,connaught place,synthetic_data
Man stabbed to death in Connaught Place,2026-03-02,A murder incident was reported in connaught place. Police are investigating the case.,Murder,connaught place,synthetic_data
Online fraud case in Kalkaji,2026-03-13,A fraud incident was reported in kalkaji. Police are investigating the case.,Fraud,kalkaji,synthetic_data
Online fraud case in Okhla,2026-03-02,A fraud incident was reported in okhla. Police are investigating the case.,Fraud,okhla,synthetic_data
Scam worth lakhs in Dwarka,2026-03-28,A fraud incident was reported in dwarka. Police are investigating the case.,Fraud,dwarka,synthetic_data
Body found in Mayur Vihar area,2026-03-04,A murder incident was reported in mayur vihar. Police are investigating the case.,Murder,mayur vihar,synthetic_data
Mobile snatching in Karol Bagh,2026-03-29,A theft incident was reported in karol bagh. Police are investigating the case.,Theft,karol bagh,synthetic_data
Online fraud case in Karol Bagh,2026-03-08,A fraud incident was reported in karol bagh. Police are investigating the case.,Fraud,karol bagh,synthetic_data
Child kidnapped from Janakpuri,2026-04-06,A kidnapping incident was reported in janakpuri. Police are investigating the case.,Kidnapping,janakpuri,synthetic_data
Cyber fraud reported in Dwarka,2026-03-25,A fraud incident was reported in dwarka. Police are investigating the case.,Fraud,dwarka,synthetic_data
Online fraud case in Saket,2026-04-08,A fraud incident was reported in saket. Police are investigating the case.,Fraud,saket,synthetic_data
Woman assaulted in Mayur Vihar,2026-02-26,A assault incident was reported in mayur vihar. Police are investigating the case.,Assault,mayur vihar,synthetic_data
Cyber fraud reported in Defence Colony,2026-03-05,A fraud incident was reported in defence colony. Police are investigating the case.,Fraud,defence colony,synthetic_data
Woman assaulted in Connaught Place,2026-02-24,A assault incident was reported in connaught place. Police are investigating the case.,Assault,connaught place,synthetic_data
Bike stolen from Ashok Vihar,2026-03-04,A theft incident was reported in ashok vihar. Police are investigating the case.,Theft,ashok vihar,synthetic_data
House robbery in Karol Bagh,2026-03-25,A theft incident was reported in karol bagh. Police are investigating the case.,Theft,karol bagh,synthetic_data
Kidnap case reported in Dwarka,2026-03-04,A kidnapping incident was reported in dwarka. Police are investigating the case.,Kidnapping,dwarka,synthetic_data
Bike stolen from Rajouri Garden,2026-04-03,A theft incident was reported in rajouri garden. Police are investigating the case.,Theft,rajouri garden,synthetic_data
Mobile snatching in Karol Bagh,2026-04-08,A theft incident was reported in karol bagh. Police are investigating the case.,Theft,karol bagh,synthetic_data
Cyber fraud reported in Rajouri Garden,2026-03-04,A fraud incident was reported in rajouri garden. Police are investigating the case.,Fraud,rajouri garden,synthetic_data
House robbery in Ashok Vihar,2026-04-06,A theft incident was reported in ashok vihar. Police are investigating the case.,Theft,ashok vihar,synthetic_data
Child kidnapped from Mayur Vihar,2026-04-09,A kidnapping incident was reported in mayur vihar. Police are investigating the case.,Kidnapping,mayur vihar,synthetic_data
Harassment case reported in Patel Nagar,2026-03-14,A assault incident was reported in patel nagar. Police are investigating the case.,Assault,patel nagar,synthetic_data
Scam worth lakhs in Karol Bagh,2026-03-15,A fraud incident was reported in karol bagh. Police are investigating the case.,Fraud,karol bagh,synthetic_data
Cyber fraud reported in Rajouri Garden,2026-03-11,A fraud incident was reported in rajouri garden. Police are investigating the case.,Fraud,rajouri garden,synthetic_data
Body found in Karol Bagh area,2026-03-16,A murder incident was reported in karol bagh. Police are investigating the case.,Murder,karol bagh,synthetic_data
Child kidnapped from Saket,2026-02-21,A kidnapping incident was reported in saket. Police are investigating the case.,Kidnapping,saket,synthetic_data
Kidnap case reported in Dwarka,2026-04-02,A kidnapping incident was reported in dwarka. Police are investigating the case.,Kidnapping,dwarka,synthetic_data
Child kidnapped from Kalkaji,2026-02-22,A kidnapping incident was reported in kalkaji. Police are investigating the case.,Kidnapping,kalkaji,synthetic_data
Man beaten in Ashok Vihar,2026-04-03,A assault incident was reported in ashok vihar. Police are investigating the case.,Assault,ashok vihar,synthetic_data
Woman assaulted in Kalkaji,2026-03-03,A assault incident was reported in kalkaji. Police are investigating the case.,Assault,kalkaji,synthetic_data
Mobile snatching in Okhla,2026-04-01,A theft incident was reported in okhla. Police are investigating the case.,Theft,okhla,synthetic_data
House robbery in Defence Colony,2026-03-16,A theft incident was reported in defence colony. Police are investigating the case.,Theft,defence colony,synthetic_data
Body found in Ashok Vihar area,2026-03-01,A murder incident was reported in ashok vihar. Police are investigating the case.,Murder,ashok vihar,synthetic_data
House robbery in Patel Nagar,2026-02-25,A theft incident was reported in patel nagar. Police are investigating the case.,Theft,patel nagar,synthetic_data
Kidnap case reported in Lajpat Nagar,2026-03-23,A kidnapping incident was reported in lajpat nagar. Police are investigating the case.,Kidnapping,lajpat nagar,synthetic_data
Harassment case reported in Defence Colony,2026-03-26,A assault incident was reported in defence colony. Police are investigating the case.,Assault,defence colony,synthetic_data
Body found in Janakpuri area,2026-02-16,A murder incident was reported in janakpuri. Police are investigating the case.,Murder,janakpuri,synthetic_data
Body found in Lajpat Nagar area,2026-04-10,A murder incident was reported in lajpat nagar. Police are investigating the case.,Murder,lajpat nagar,synthetic_data
Woman assaulted in Hauz Khas,2026-02-27,A assault incident was reported in hauz khas. Police are investigating the case.,Assault,hauz khas,synthetic_data
Online fraud case in Lajpat Nagar,2026-03-02,A fraud incident was reported in lajpat nagar. Police are investigating the case.,Fraud,lajpat nagar,synthetic_data
Man beaten in Lajpat Nagar,2026-02-12,A assault incident was reported in lajpat nagar. Police are investigating the case.,Assault,lajpat nagar,synthetic_data
Harassment case reported in Dwarka,2026-03-20,A assault incident was reported in dwarka. Police are investigating the case.,Assault,dwarka,synthetic_data
Body found in Najafgarh area,2026-04-01,A murder incident was reported in najafgarh. Police are investigating the case.,Murder,najafgarh,synthetic_data
Online fraud case in Pitampura,2026-03-10,A fraud incident was reported in pitampura. Police are investigating the case.,Fraud,pitampura,synthetic_data
Online fraud case in Defence Colony,2026-04-04,A fraud incident was reported in defence colony. Police are investigating the case.,Fraud,defence colony,synthetic_data
Minor abducted in Shahdara,2026-04-10,A kidnapping incident was reported in shahdara. Police are investigating the case.,Kidnapping,shahdara,synthetic_data
Youth shot dead in Pitampura,2026-03-27,A murder incident was reported in pitampura. Police are investigating the case.,Murder,pitampura,synthetic_data
Mobile snatching in Hauz Khas,2026-03-29,A theft incident was reported in hauz khas. Police are investigating the case.,Theft,hauz khas,synthetic_data
Youth shot dead in Ashok Vihar,2026-02-26,A murder incident was reported in ashok vihar. Police are investigating the case.,Murder,ashok vihar,synthetic_data
Man beaten in Rohini,2026-03-09,A assault incident was reported in rohini. Police are investigating the case.,Assault,rohini,synthetic_data
Man stabbed to death in Lajpat Nagar,2026-04-01,A murder incident was reported in lajpat nagar. Police are investigating the case.,Murder,lajpat nagar,synthetic_data
Cyber fraud reported in Najafgarh,2026-04-02,A fraud incident was reported in najafgarh. Police are investigating the case.,Fraud,najafgarh,synthetic_data
Harassment case reported in Vasant Kunj,2026-03-13,A assault incident was reported in vasant kunj. Police are investigating the case.,Assault,vasant kunj,synthetic_data
Woman assaulted in Okhla,2026-03-14,A assault incident was reported in okhla. Police are investigating the case.,Assault,okhla,synthetic_data
Mobile snatching in Vasant Kunj,2026-02-27,A theft incident was reported in vasant kunj. Police are investigating the case.,Theft,vasant kunj,synthetic_data
Mobile snatching in Janakpuri,2026-04-09,A theft incident was reported in janakpuri. Police are investigating the case.,Theft,janakpuri,synthetic_data
House robbery in Saket,2026-04-02,A theft incident was reported in saket. Police are investigating the case.,Theft,saket,synthetic_data
Man beaten in Connaught Place,2026-03-04,A assault incident was reported in connaught place. Police are investigating the case.,Assault,connaught place,synthetic_data
Cyber fraud reported in Mayur Vihar,2026-03-27,A fraud incident was reported in mayur vihar. Police are investigating the case.,Fraud,mayur vihar,synthetic_data
Kidnap case reported in Connaught Place,2026-02-21,A kidnapping incident was reported in connaught place. Police are investigating the case.,Kidnapping,connaught place,synthetic_data
Bike stolen from Shahdara,2026-04-06,A theft incident was reported in shahdara. Police are investigating the case.,Theft,shahdara,synthetic_data
Kidnap case reported in Burari,2026-03-08,A kidnapping incident was reported in burari. Police are investigating the case.,Kidnapping,burari,synthetic_data
Kidnap case reported in Burari,2026-02-14,A kidnapping incident was reported in burari. Police are investigating the case.,Kidnapping,burari,synthetic_data
Kidnap case reported in Rohini,2026-04-10,A kidnapping incident was reported in rohini. Police are investigating the case.,Kidnapping,rohini,synthetic_data
Man beaten in Najafgarh,2026-02-21,A assault incident was reported in najafgarh. Police are investigating the case.,Assault,najafgarh,synthetic_data
Cyber fraud reported in Dwarka,2026-02-14,A fraud incident was reported in dwarka. Police are investigating the case.,Fraud,dwarka,synthetic_data
Mobile snatching in Patel Nagar,2026-02-21,A theft incident was reported in patel nagar. Police are investigating the case.,Theft,patel nagar,synthetic_data
Minor abducted in Dwarka,2026-04-02,A kidnapping incident was reported in dwarka. Police are investigating the case.,Kidnapping,dwarka,synthetic_data
Online fraud case in Pitampura,2026-03-05,A fraud incident was reported in pitampura. Police are investigating the case.,Fraud,pitampura,synthetic_data
Kidnap case reported in Shahdara,2026-03-02,A kidnapping incident was reported in shahdara. Police are investigating the case.,Kidnapping,shahdara,synthetic_data
Cyber fraud reported in Lajpat Nagar,2026-02-15,A fraud incident was reported in lajpat nagar. Police are investigating the case.,Fraud,lajpat nagar,synthetic_data
Body found in Vasant Kunj area,2026-03-01,A murder incident was reported in vasant kunj. Police are investigating the case.,Murder,vasant kunj,synthetic_data
Man stabbed to death in Kalkaji,2026-03-24,A murder incident was reported in kalkaji. Police are investigating the case.,Murder,kalkaji,synthetic_data
Youth shot dead in Ashok Vihar,2026-03-21,A murder incident was reported in ashok vihar. Police are investigating the case.,Murder,ashok vihar,synthetic_data
Child kidnapped from Janakpuri,2026-02-24,A kidnapping incident was reported in janakpuri. Police are investigating the case.,Kidnapping,janakpuri,synthetic_data
House robbery in Rajouri Garden,2026-03-04,A theft incident was reported in rajouri garden. Police are investigating the case.,Theft,rajouri garden,synthetic_data
Child kidnapped from Rohini,2026-03-02,A kidnapping incident was reported in rohini. Police are investigating the case.,Kidnapping,rohini,synthetic_data
Child kidnapped from Hauz Khas,2026-03-01,A kidnapping incident was reported in hauz khas. Police are investigating the case.,Kidnapping,hauz khas,synthetic_data
Man beaten in Rajouri Garden,2026-02-15,A assault incident was reported in rajouri garden. Police are investigating the case.,Assault,rajouri garden,synthetic_data
Woman assaulted in Najafgarh,2026-04-05,A assault incident was reported in najafgarh. Police are investigating the case.,Assault,najafgarh,synthetic_data
Bike stolen from Connaught Place,2026-03-02,A theft incident was reported in connaught place. Police are investigating the case.,Theft,connaught place,synthetic_data
Mobile snatching in Pitampura,2026-02-28,A theft incident was reported in pitampura. Police are investigating the case.,Theft,pitampura,synthetic_data
Harassment case reported in Hauz Khas,2026-02-23,A assault incident was reported in hauz khas. Police are investigating the case.,Assault,hauz khas,synthetic_data
Youth shot dead in Kalkaji,2026-04-10,A murder incident was reported in kalkaji. Police are investigating the case.,Murder,kalkaji,synthetic_data
Youth shot dead in Pitampura,2026-04-10,A murder incident was reported in pitampura. Police are investigating the case.,Murder,pitampura,synthetic_data
Scam worth lakhs in Connaught Place,2026-02-25,A fraud incident was reported in connaught place. Police are investigating the case.,Fraud,connaught place,synthetic_data
Cyber fraud reported in Saket,2026-02-23,A fraud incident was reported in saket. Police are investigating the case.,Fraud,saket,synthetic_data
Youth shot dead in Okhla,2026-04-07,A murder incident was reported in okhla. Police are investigating the case.,Murder,okhla,synthetic_data
Youth shot dead in Dwarka,2026-03-06,A murder incident was reported in dwarka. Police are investigating the case.,Murder,dwarka,synthetic_data
Online fraud case in Rohini,2026-02-12,A fraud incident was reported in rohini. Police are investigating the case.,Fraud,rohini,synthetic_data
Kidnap case reported in Burari,2026-02-14,A kidnapping incident was reported in burari. Police are investigating the case.,Kidnapping,burari,synthetic_data
Cyber fraud reported in Janakpuri,2026-03-06,A fraud incident was reported in janakpuri. Police are investigating the case.,Fraud,janakpuri,synthetic_data
Harassment case reported in Karol Bagh,2026-04-07,A assault incident was reported in karol bagh. Police are investigating the case.,Assault,karol bagh,synthetic_data
Cyber fraud reported in Rohini,2026-03-17,A fraud incident was reported in rohini. Police are investigating the case.,Fraud,rohini,synthetic_data
Man stabbed to death in Najafgarh,2026-03-13,A murder incident was reported in najafgarh. Police are investigating the case.,Murder,najafgarh,synthetic_data
Man stabbed to death in Rohini,2026-03-24,A murder incident was reported in rohini. Police are investigating the case.,Murder,rohini,synthetic_data
House robbery in Okhla,2026-04-10,A theft incident was reported in okhla. Police are investigating the case.,Theft,okhla,synthetic_data
Bike stolen from Najafgarh,2026-04-05,A theft incident was reported in najafgarh. Police are investigating the case.,Theft,najafgarh,synthetic_data
Cyber fraud reported in Saket,2026-03-01,A fraud incident was reported in saket. Police are investigating the case.,Fraud,saket,synthetic_data
Cyber fraud reported in Najafgarh,2026-03-12,A fraud incident was reported in najafgarh. Police are investigating the case.,Fraud,najafgarh,synthetic_data
Man beaten in Tilak Nagar,2026-03-27,A assault incident was reported in tilak nagar. Police are investigating the case.,Assault,tilak nagar,synthetic_data
House robbery in Rajouri Garden,2026-04-01,A theft incident was reported in rajouri garden. Police are investigating the case.,Theft,rajouri garden,synthetic_data
Online fraud case in Janakpuri,2026-03-24,A fraud incident was reported in janakpuri. Police are investigating the case.,Fraud,janakpuri,synthetic_data
House robbery in Patel Nagar,2026-04-09,A theft incident was reported in patel nagar. Police are investigating the case.,Theft,patel nagar,synthetic_data
