title,date,description,source_url
"Delhi Crime Branch busts transnational arms racket linked to Pakistan, Bangladesh; 10 arrested, 21 milita - The Times of India","Wed, 25 Mar 2026 07:00:00 GMT","Delhi Crime Branch busts transnational arms racket linked to Pakistan, Bangladesh; 10 arrested, 21 milita - The Times of India",https://news.google.com/rss/articles/CBMipAJBVV95cUxPRWdTX3FvcWZpNzVDT05nWHQ3V1ZPVGo4S2NmeUZUTnJOQmpESDdFWjhTVEVlMDQ0bWY1V2dseDdyMU9KT1NwVWFMX2xMQ09NdjhoZl9jeUlGc2JQVW1CWDdhU2VvM0k1aG92VmZJYmE2Wk1LeHlSRTNuM245bWpOU0x0eGRKVWRja29EVjZuOENfRTlCdk1sWjZCTUs1NzVZMXJnUWs5c3BpeG1ESnFpbmphRFpYQkc0M0NFUC1IS2NLakxCd2o4OU9zXzgtX1hoZlBmMjM3bS1laFNGZ0hYaVFDeW5Hb2RLeF83azJvM2dmbVIyckFFWHNQYXJmMXFCUlJGSDFXbnpQNTBPM2lKMm90dFFCTmtaVzNWZ05KYWc5MVNa0gGqAkFVX3lxTE5iQU9KcDRxcUtmd2M0VXQwVC02d3pWbHFfVl9JQlJyQjVrMS0tcWxJOFBNRDR3aFhTcFJUck5nM0VrdzNkYkxRWDYySVd1c3F2THU5MzBVQnU3WU5feTJWVjNRc0FJNFZyT3k3NF85TEJ4TjVFWDFNeHFNS1JwN2JnYzNxTWxyVFlmMHhfSUtkVks0ZnEwLWFpalJGVmw0cnJTVTI4empwMXpVX2R1dVBCU0xnZEFWVWdyX0NaUWFlazJxTlJYOUtxdmdNVHhaWHROeGVIb0RXd2dIdU1iSnpYWTRWTklnTzJaZjNMa19Vam1xTGxCWWpSTlFQOHI4UGF4RUdPTzZGVDh0V0Z3LXExYjF2dHJWOFlwUHhaUURXTG9LVEY2ZTFNZmc?oc=5
"Custodial Death Allegations: Delhi High Court Transfers Probe To Crime Branch, Orders ACP-Rank... - Live Law","Wed, 08 Apr 2026 08:00:33 GMT","Custodial Death Allegations: Delhi High Court Transfers Probe To Crime Branch, Orders ACP-Rank... - Live Law",https://news.google.com/rss/articles/CBMi9wFBVV95cUxQNTEzb0NFUTMwaXA3WEdCb3luUUpkOU9vbGt1QWVWX1pIZkFBanNLbGxqQ2ljRDVQYU45NU52VnRYd2xCX29nMDVBeFpHc1hTZUFVeC1tQm9BQmtFcTBvbms4NS1ZQ0UxT01POElmaDkwd1dUSlFGdElzUTg1cV82eTdVbmJaWE9QN3hWSTlhTTFtUTh1SzBnYmhlWDNDTjJHMGNMYjdQSVJUNVNYUVp1a2NrRGNrbUY2MlhNY09QcTZydGhxSS02YXQtbzFTeTA0QlpSLS1jd0thdGVGcmVqbmZRaDlocDJJMVdSYmlTTS1pS3FENWRZ0gH8AUFVX3lxTE9yR3FJZzZxWG95TmNzNnRZUzNQMHZPSERxZTV5dGwyVVpoOTc2aDdpSnZnTF9JNnRuMml5RGNkOEdCdEhzS21RQi03a0dDSElReFJ5cjZ2Tnpmc3lSU05zbEhlWjdpRFg2dEhCUy1QWVRmOVhrQ2FJUDBEWmpvVjFMcXpHTk51MS1NOC1wdnZsbU5jczRJWGwtajE5cFE3V3NqdlBISTlja2ZtNjR3LTJQMk4xbFZnRnhBUVhEdnI5UXc3ZFl3Tm50eEdiX0ZJQXR3Tmh0WEtMa0I3VktFSzdsVmtwN1ppb3ZDNklBcXF4U29hLXgzOS1MSVl4WA?oc=5
Delhi Crime: 47-Year-Old Man Robbed of Rs 25 Lakh by Two Bike-Borne Men; Police Probe On - lokmattimes.com,"Fri, 10 Apr 2026 17:14:55 GMT",Delhi Crime: 47-Year-Old Man Robbed of Rs 25 Lakh by Two Bike-Borne Men; Police Probe On - lokmattimes.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxOejZiV2dkYXFoNk5ENUlFZldRT0dFTVlJS1M1dm9aRVBITHotWElENDhCX1RhNnRjeW5KaHNtcVNURWxKUG9nSmR5OFRhRHNjN0czQUwyLTJ4QjBUNk1vLXhZeU51YkQtRkIyVTZNYko2eFBNejdlcWNDTnZMb2tmQ1U4TmFSRVU5MVR0NEpma29sUkNaT2VaWGEtRzdpWndZTHdBZXdHV3FpYUw4S2FzOWpJQkRuZ1FVZ2dmbDl2Z0o1RjZlN05vQ0laaEVid9IBzgFBVV95cUxOejZiV2dkYXFoNk5ENUlFZldRT0dFTVlJS1M1dm9aRVBITHotWElENDhCX1RhNnRjeW5KaHNtcVNURWxKUG9nSmR5OFRhRHNjN0czQUwyLTJ4QjBUNk1vLXhZeU51YkQtRkIyVTZNYko2eFBNejdlcWNDTnZMb2tmQ1U4TmFSRVU5MVR0NEpma29sUkNaT2VaWGEtRzdpWndZTHdBZXdHV3FpYUw4S2FzOWpJQkRuZ1FVZ2dmbDl2Z0o1RjZlN05vQ0laaEVidw?oc=5
"Delhi: Crime branch busts inter-state mobile theft racket, 83 phones recovered - India's News.Net","Sun, 29 Mar 2026 13:30:00 GMT","Delhi: Crime branch busts inter-state mobile theft racket, 83 phones recovered - India's News.Net",https://news.google.com/rss/articles/CBMiugFBVV95cUxNeG5KZURvNldxN1Rrb0FlU1pHbS1KQXVpcUxjend6UWxmUDU4VHZlNjZFd0FJb3lWRzBCeU9tZEV2NEhlaFAxLTJxbW9FaUVnZmxZaktsaFhHSDl4OF82SUUwMTU2aExneE9fdVBvMF92MEVlWmZQMW5GS3E5ek11UG9YLU1nY01BYUJ4eElLUHdKZXF4RFVXamRhUlRPYnZ6LVdWY0s4NlRQeUhLbHFNb0o3VFcwbnRXZXc?oc=5
"Delhi: Crime Branch nabs proclaimed offender, Mukhiya gang kingpin in Dwarka - english.punjabkesari.com","Wed, 01 Apr 2026 07:03:18 GMT","Delhi: Crime Branch nabs proclaimed offender, Mukhiya gang kingpin in Dwarka - english.punjabkesari.com",https://news.google.com/rss/articles/CBMirAFBVV95cUxPR19KYTE4cE9vSTFFOEw4S2I5bDltWXJMMmhrMUo5c2VUdTZ4d0syOEVSWEJ3QWphb0xTM0xDa2xHUjVHRE83em1RbEFZbDZEcU5TUzNrRldfUTNhaV9VUDJGVWNZSUxqT3M0ZHlJX1UwaFhQeFJOb2ZhelY4TExzVWZIRHhCQ1pvX08yVnlGSXFxMXJCeXVzXzYtM2h6SV9Sb08tc3g0TWVncFND0gGyAUFVX3lxTE0xSDVHU2htOGJLN25WWl9fRk5Eek9UV1A2WGk0d0FZdlVrLXhLVVpJNHQyeFVoY0dYbFdjb3Y2OGFKazVBQTlrUVpnd0stOVJFV1RyOWNRTGZXN0ZnVHNfOV9pUENZMjJfUGNPcW5LSmR4WWxYN2h1c19jMGRhOW5rREd4Znc3SWZRVXN2S3pndjQ2Q0JEcDYya3A2S3czZUFvSDB5OWFRS3hraUdoa2EwSkE?oc=5
Delhi Crime Branch busts counterfeit racket of Sensodyne toothpaste in Khanjawala - BW Police World,"Sat, 04 Apr 2026 14:21:04 GMT",Delhi Crime Branch busts counterfeit racket of Sensodyne toothpaste in Khanjawala - BW Police World,https://news.google.com/rss/articles/CBMixAFBVV95cUxPQzExa2xPV010TEVHdC1sNFJxMGo2SGJhN3ZpMm9rcWJZSVFHbEV3eEphRzhJa1ZtLTZ5MmFXbUdsbVdOcGIzSlFya1g2QVV1YmxDZXdqUzVSWkkzWEFIa0lxTldLZzNKTlJkbk5nVUh0RFJqWHZSZzlHZWZDTEpJVkRqc1ZYLXhnbzgzaVRKZVFGM3hlMmVMSDU1QkdaSDRNdmFTX21qY3RkM2t4aE1pVUJTN0NOa09zS1Z4Z3BlUDRFOHNN?oc=5
"Delhi Crime Branch Exposes Fake Protein Supplement Racket, Two In Custody - NDTV","Mon, 09 Mar 2026 07:00:00 GMT","Delhi Crime Branch Exposes Fake Protein Supplement Racket, Two In Custody - NDTV",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNlJ4S0hXa1dCbENQeEloTG8ta3ZUNFBJQ2hpM1dGMnVFY3Q4d051ODE5R3RoOGN4d2VkeWdFNld1UFhERDJnRHNyV0YzYTdTZWItRHp4cngyLVpmY2pnbWlyN29NVGZHdnBRQkVoOXU3dWRMczVNOGlyRjV3SmtYZGlzcUdWMENDUTEzZl9oalYtN0s3T2pwa1dJRm9GTFlpR3FMdWp1TknSAbABQVVfeXFMUHR2WnpIWFVqYkxla2NEd2V1Y3lBTVhYa2dQNmhEaDhvQU4tMDY4eXFzZ1FYaU82anc0cndUdHYyenMyS05ZQ0RBZ3plOU1BQlJrV211QmZQOTluNmdoZGwtbGtBTmlZbHdJZFlJa2J1anBpVUYtMzEtVUxLejJqT3dUM0RCbm5fcmZTNTNPTFlaclFKRzh3VjdkOEkwUFl1cld5aWo5SnNYS3RhVDJpbGM?oc=5
Arrest of Gang-Linked Shooter Deepens Delhi Crime Investigation - Devdiscourse,"Sun, 29 Mar 2026 11:20:54 GMT",Arrest of Gang-Linked Shooter Deepens Delhi Crime Investigation - Devdiscourse,https://news.google.com/rss/articles/CBMiugFBVV95cUxQSWRwclAtd3FJZkVlZTN5UlcxREdvMHp0ZTZsY3ctSzczWEVsS3N2ZFc4UVFaOVlyM28zT01aWEdhVFZkS3d2eXcycGpkdFdWRk9LN2hkMXdOLXMxczFNX21xZEhySnBlWDlPRmN1a2tHUVI3MnBrMUUxQXZkbWFfV0VFV2oxb1g0Qjk5SzdBWkI2UVAzSVJUNGNnRFpvWU9sVnVOWnhfWGVDczczUWUzWU0yUVpQbzIwWVHSAb8BQVVfeXFMTkQ5R1JVelZvZEtKYjgxOUtfSG0weXpaRUJkZDlPZDhFR1M0Y3VReThzeXZjdGdoTlFycmQyMGVmM0gwMlhwT2d6Z3g0aDl6NXVwUkdlZkdOZEE4amxBVG53SjMxN3Q0UGlWZU5ZWkJvS3k4SlkzZWtPVUtTbkRRUjY4dm9PbDBEZnVHdTdRc1otR0x1VWhXWVZBLVJtTldfa0FwMzRGZGNrVC1FTDhKQlpOZngtUTZ5UklTUk9wT0E?oc=5
"Delhi Crime Report 2025: Murder, rape, robbery cases drop sharply; police claim improved law and order - India TV News","Wed, 21 Jan 2026 08:00:00 GMT","Delhi Crime Report 2025: Murder, rape, robbery cases drop sharply; police claim improved law and order - India TV News",https://news.google.com/rss/articles/CBMi_wFBVV95cUxNN2RTRTJVU250WVZUelZ3b3ZCZU9tTGZlS05SVWtvY0FMbXhYYmxSVTlkNlBhbFpuV1M0R0lOQVc2RlVOQ0JKLVkzQlkzRlpPMmpkcjVTZzZMRmhiRGVWS1VIdTJGckFjUjY4Rl80cHJEbERkRkppYmhKY2kwaWhtQ1dQWWN3QnBUeG5DLXJSRFhqajdnbnNiVmhmMXZHOXA0alVEbnhKVnk1OTJMUHdCZTdIN1FEV1FLSTJ4Q2NVUVVJR3FrNnpLa1pkVFY2ZlJtZXduVHBwdHROc2dTUFVRNXJSbHJ3dXpMTDJUcFlOVDBGdXc0cE1sM3BHNW1tUWPSAYQCQVVfeXFMTWFjeVliaGp1MGpYckI2b3BPTE1fZVQ0SXhGZFVnd3pWV0lJaXQxOWZJZUQzM2NSUnVIODdqMXlzRHNnSDBJWjR6Zm00b2V4dURFS3VZYlU0UXREMXo4YnBVeFRrVThya0U0SU5WQk9wQXdpeWstQS1USmVuXzFCYjRxNmtjQ1hjdGdNVnhDQXRnd044OGVsaXJhSWhOR3Z3SjBkNXJUQUVDZUFKODR5UTVCVjdfQUgwWlF1SkdmM1Z6R0JjLUhoRHlWYi1ES2FhT2ZjdFc0WFRmdUtKZlpTTFJ0UlREOE9iVUNJZkJGQ0RRMTh6cjVVU3R2UTUxbE1yY1JzNXE?oc=5
"Rape, Pocso convict who jumped bail in 2022 held by Delhi crime branch - The Times of India","Tue, 27 Jan 2026 08:00:00 GMT","Rape, Pocso convict who jumped bail in 2022 held by Delhi crime branch - The Times of India",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQOTJWN2NYd2YzaTZ2MXItODNWMlpld0hvRnk0SDFGWmowdm9vR3Y3RkJOZVZVV3dMQW9hOXk5VkdTYTA2eW8zTDJ6YnpqTnpfci1hdHJic0ZGOXRWUTRVcHZVS2RPUXZwN3RmRGZNWkVNYi00elZxZHdKZUU4eEpkOHdkSTdPdUJTSXh4QU1XSWVfbDRsYkpNZy1sMWZYNTFQdmZGSVFWYkl4WE94MXhfWlR2TzAwTGszZExfdHdrem54T1ZnVjduSThvWmNRNjdsMGhBOFJuM3Rld9IB3wFBVV95cUxQWW51bGh0SktIVlZ0cGZTNjNTMGs5NU1IRVgwMHJsTEFVTWxzUEUyZUxsemkxdnhwdFlCSlBMelhCMDhjYXhjQ1d6WWpMckxUSFdNM1ZKbzdlTFdjc0FGM043MnFHelJBXy1KckNnTUExZ1ZUSHVfOXBoSy02UmotQ0k5bnBBQXA5WmtTVnhBZ1dSblBQMEdqUkhuRjZBLW5FaUc2ZHZ0OVdGVDFkcGhuUC00bzkxZWZLSEZWUHRMZFM2RG4tTkYzUWk1RTJKaDVLZ1VSRWNGam1waVFQTDFr?oc=5
"Rasika Dugal on her toughest scene in Delhi Crime 3: Letting go is heartbreaking, even when you’ve moved - The Times of India","Thu, 13 Nov 2025 08:00:00 GMT","Rasika Dugal on her toughest scene in Delhi Crime 3: Letting go is heartbreaking, even when you’ve moved - The Times of India",https://news.google.com/rss/articles/CBMilwJBVV95cUxNSDg0bEJRMVhJLW9pVVZDZUI3Nk9taWxoY2RsLXJsWWEtMC10aDVvMWhzWnppZlBmeWVNaloxbXptTEYwbGVhaTVEY2hvakxUMnczVnVkbGZNRW5TaXBBT2RPRTVzVU1jSzlPSllDdHdWa3FXVDVJTFBkbVJlaGI1YkptWE9yVmE4eFJPeU5XSkliTGd1ekY3N1p5Wi1aeWlwRW8wSi1QNFhUUDF5WVlpcFpSQnhUZTgzQXBpcVVvc083QkVxRTN3UjRRMmEyRzBtV3UtZTk4MFh2XzJJWWNFSkQ2U0lqd1M3WXFEcG45cGlxQlc3cWFzV1oxMnVtLTExbUJzMDJ3ZDdvX3I2U2g3SENRZUVvdnPSAZwCQVVfeXFMTXl6bXMxOUZsa3JxZ2o3WjVkZjg5TTlHZkNjcnZVOVFESkZWWTRaTUtfRUxKZU5McDhiQzM5d3NXS0otNjdpcEVYY0V4OHhHTzlFby1UTHpHOWlvcW9mUVBPUTE1SjFDbEtVZmpGVS1BdGhQbmh0MEV6djRXZlFSczQ3amJ6LXBDcVR3bmFGeldlRzJMWm91aklSdU5HaGFGYkYtSUlUaVZtaUdBWjkwRGQ1Znp5NEJxcGZtY3k1a05HclFNWW4wczZmX0lPdHRERjF5cVVoTzVaalJLUnNKenhwR3phMkF0dmFIeVVyRmhZQy1VcmVYa0lEMnpjV3JSZ3hXQ2FsZkc0a3lKRkt4VERDSDEyeDJvVzNYYVk?oc=5
IPS Chhaya Sharma: The Real Officer Behind Delhi Crime & the Nirbhaya Probe - The Better India,"Mon, 01 Dec 2025 08:00:00 GMT",IPS Chhaya Sharma: The Real Officer Behind Delhi Crime & the Nirbhaya Probe - The Better India,https://news.google.com/rss/articles/CBMixwFBVV95cUxPY3pGOVBPYk5ybi1rSlZQYno5TjRwdjJrZzc2OTE5cDlWbzJiZHV3bEQ3LWp2R0NQLVNaNHNnY3ppclB3bTVwalozenBXZlp4ZEhCUEN6dHl3Q1ZnODlMQlZzcVdyeGtjX090NnAySk5UZndUUGtrTTZXQS0wR2NKYmY1cURSdjlSS2xmQXl4NlBLSE5FUFVnbWN6dExKVFRaRndQTXQ1dUtFUVB0aXlrVHhpUFdlaFA4X2EwR2NsRzJvdDR1X1dR0gHMAUFVX3lxTE84TDg2MUduMVFXV2pPVmV1VzdvTldIYmZsN2I0ZWM0LUdFWHhib2VfTmx1VUVDU3BEU1M5ZWZ4bm9OT3hfb2tMWHJiSjdWOC1aR3Jfb2tHZ0RScEl1bm5uVDQyQ2FuSUFQZ3M4OTIzRFIyYlh6eWlNODE3a29IOUtqNmtRcE5SaUcxVmoyNzhUeHhvWTB1VmhERzQ5anhQejFVV1A3WUJwYUtCUGkwcEYtN3RxdlNZNzBKNUozSTN5MlZ5dUFNTXdmYmRHYg?oc=5
The missing women that ‘Delhi Crime’ and official statistics fail to acknowledge - Scroll.in,"Fri, 28 Nov 2025 08:00:00 GMT",The missing women that ‘Delhi Crime’ and official statistics fail to acknowledge - Scroll.in,https://news.google.com/rss/articles/CBMisgFBVV95cUxOd2dlVDJ2QkVPYXNQVmpDOG1GcEVlSEJxeW1NMlhXQTFfRHkzRGh0clRvTGdFdm5XS011WnU5T2JfbXlINjJmaVYxcldBbVI1ajlSbGRuWV9sSk5NUm5oNURJU2gyUUw4WDFTQWVfNXFaNjFFVEhtYS10T0k2Q0NrZ1I5cjlhdk5peXBicnNKeWlMQTlBWXRYSTJPZFpnY1pfU0Fia01RUWFmbGZTZE54bWF30gG3AUFVX3lxTE5lQjdzakJ4b3lXYTVkUHo2RnpwSnJYZ3BnU0oxbTVZOWVxYm1Pd2NpM3V6OTVrQjNZM3BMRXJYaHlCUmQ0Tm9qNFNGcmp3OGtDandzSXBzWGJUWnFzSlNoMnVZREZGRjdNWVVZMFZuTjQ4a3MwVUpmdm50Z2liMkFEM01PZG9hZmR4T25JaGlQSlJxdWx4YmtUMHVUY3A5TGcybEZNNFpNcFVMRjA1NVRGZl83TF91QQ?oc=5
Huma Qureshi on her role in ‘Delhi Crime S3’: 'Didn’t want it to be a cardboard villain' - Telegraph India,"Sat, 15 Nov 2025 08:00:00 GMT",Huma Qureshi on her role in ‘Delhi Crime S3’: 'Didn’t want it to be a cardboard villain' - Telegraph India,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPVkRnOTlDV2FMVXVHaTVVa2RmOVEyTF9HXzBfSmI2T0dsYmR6V3c5OGpCNXBlcFFqTXQwUS1TZlFPc2ZTN3BVLXJLR3lHVEJWdUZXWG1sVGEwYzhUcEE0LUFmUlM2bmgwRWsxRnNzZm9JRjJibDQtRlJlNkNRUWh1TzVCMDl0RjZxWnV5aWkyTnpwMDRiNmd6ZTkwUXB6VmdmT0JNc1VJVS1lZVMxYXUtNjhYVFJidFA3QzBPamdweVN6OWlyWU12TEJmSG5QcUdiTTNmRjdR0gHbAUFVX3lxTE8ySGlKQUZpeGc4TTRvaHpBZVdrVW5Hc1d2cWhzZzhSSVZTTlFhNDJZb3hvMUwtNUJxZi1jdVJTT2syLXRSS25mbnFHRHl6d2RKdjVxSEtJWDZlSURqWlJIQ1JmeExYLUdHWnhUSHREcU1ZbTdaVk12dkZsX3ZGN1BndlpmelFtRU5waGxRNHdOcnUzbDJCWk5LSC1pSW1MSDRsTHd3VG5DUFNFaHZvV2pOaE1Gc2tsTlptYjJiUnVIQ3RPV2hDTWUydmFmSEpnQWl5M3U4OTlvM0Zpcw?oc=5
